ms,features,map,requested_nm,commanded_nm,limit_nm,fuel_multiplier,ethanol_filtered,dtcs,limp,launch,shift
4720,15,2,341.66666,80.00000,80.00000,1.49588,84.76494,0,0,1,0
4740,15,2,341.66666,80.00000,80.00000,1.49595,84.77398,0,0,1,0
4760,15,2,341.66666,80.00000,80.00000,1.49603,84.78267,0,0,1,0
4780,15,2,341.66666,80.00000,80.00000,1.49610,84.79103,0,0,1,0
4800,15,2,341.66666,80.00000,80.00000,1.49616,84.79906,0,0,1,0
4820,15,2,341.66666,80.00000,80.00000,1.49623,84.80679,0,0,1,0
4840,15,2,341.66666,80.00000,80.00000,1.49629,84.81422,0,0,1,0
4860,15,2,341.66666,80.00000,80.00000,1.49635,84.82137,0,0,1,0
4880,15,2,341.66666,80.00000,80.00000,1.49641,84.82825,0,0,1,0
4900,15,2,341.66666,80.00000,80.00000,1.49646,84.83485,0,0,1,0
4920,15,2,341.66666,80.00000,80.00000,1.49652,84.84121,0,0,1,0
4940,15,2,341.66666,80.00000,80.00000,1.49657,84.84732,0,0,1,0
4960,15,2,341.66666,80.00000,80.00000,1.49661,84.85320,0,0,1,0
4980,15,2,341.66666,80.00000,80.00000,1.49666,84.85884,0,0,1,0
5000,15,2,341.66666,80.00000,80.00000,1.49671,84.86427,0,0,1,0
5020,15,2,341.66666,80.00000,80.00000,1.49675,84.86949,0,0,1,0
5040,15,2,341.66666,80.00000,80.00000,1.49679,84.87451,0,0,1,0
5060,15,2,341.66666,80.00000,80.00000,1.49683,84.87934,0,0,1,0
5080,15,2,341.66666,80.00000,80.00000,1.49687,84.88398,0,0,1,0
5100,15,2,341.66666,80.00000,80.00000,1.49691,84.88844,0,0,1,0
5120,15,2,341.66666,80.00000,80.00000,1.49694,84.89273,0,0,1,0
5140,15,2,341.66666,80.00000,80.00000,1.49698,84.89686,0,0,1,0
5160,15,2,341.66666,80.00000,80.00000,1.49701,84.90083,0,0,1,0
5180,15,2,341.66666,80.00000,80.00000,1.49704,84.90464,0,0,1,0
5200,15,2,341.66666,80.00000,80.00000,1.49707,84.90831,0,0,1,0
5220,15,2,341.66666,80.00000,80.00000,1.49710,84.91183,0,0,1,0
5240,15,2,341.66666,80.00000,80.00000,1.49713,84.91522,0,0,1,0
5260,15,2,341.66666,80.00000,80.00000,1.49716,84.91848,0,0,1,0
5280,15,2,341.66666,80.00000,80.00000,1.49719,84.92162,0,0,1,0
5300,15,2,341.66666,80.00000,80.00000,1.49721,84.92463,0,0,1,0
5320,15,2,341.66666,80.00000,80.00000,1.49724,84.92753,0,0,1,0
5340,15,2,341.66666,80.00000,80.00000,1.49726,84.93031,0,0,1,0
5360,15,2,341.66666,80.00000,80.00000,1.49728,84.93299,0,0,1,0
5380,15,2,341.66666,80.00000,80.00000,1.49730,84.93557,0,0,1,0
5400,15,2,341.66666,80.00000,80.00000,1.49732,84.93805,0,0,1,0
5420,15,2,341.66666,80.00000,80.00000,1.49734,84.94043,0,0,1,0
5440,15,2,341.66666,80.00000,80.00000,1.49736,84.94272,0,0,1,0
5460,15,2,341.66666,80.00000,80.00000,1.49738,84.94492,0,0,1,0
5480,15,2,341.66666,80.00000,80.00000,1.49740,84.94704,0,0,1,0
5500,15,2,341.66666,80.00000,80.00000,1.49742,84.94908,0,0,1,0
5520,15,2,341.66666,80.00000,80.00000,1.49743,84.95104,0,0,1,0
5540,15,2,341.66666,80.00000,80.00000,1.49745,84.95293,0,0,1,0
5560,15,2,341.66666,80.00000,80.00000,1.49746,84.95473,0,0,1,0
5580,15,2,341.66666,80.00000,80.00000,1.49748,84.95647,0,0,1,0
5600,15,2,341.66666,80.00000,80.00000,1.49749,84.95815,0,0,1,0
5620,15,2,341.66666,80.00000,80.00000,1.49750,84.95975,0,0,1,0
5640,15,2,341.66666,80.00000,80.00000,1.49752,84.96130,0,0,1,0
5660,15,2,341.66666,80.00000,80.00000,1.49753,84.96279,0,0,1,0
5680,15,2,341.66666,80.00000,80.00000,1.49754,84.96423,0,0,1,0
5700,15,2,341.66666,80.00000,80.00000,1.49755,84.96560,0,0,1,0
5720,15,2,341.66666,80.00000,80.00000,1.49756,84.96692,0,0,1,0
5740,15,2,341.66666,80.00000,80.00000,1.49757,84.96819,0,0,1,0
5760,15,2,341.66666,80.00000,80.00000,1.49758,84.96941,0,0,1,0
5780,15,2,341.66666,80.00000,80.00000,1.49759,84.97059,0,0,1,0
5800,15,2,341.66666,80.00000,80.00000,1.49760,84.97172,0,0,1,0
5820,15,2,341.66666,80.00000,80.00000,1.49761,84.97281,0,0,1,0
5840,15,2,341.66666,80.00000,80.00000,1.49762,84.97385,0,0,1,0
5860,15,2,341.66666,80.00000,80.00000,1.49763,84.97486,0,0,1,0
5880,15,2,341.66666,80.00000,80.00000,1.49764,84.97583,0,0,1,0
5900,15,2,341.66666,80.00000,80.00000,1.49765,84.97676,0,0,1,0
5920,15,2,341.66666,80.00000,80.00000,1.49765,84.97765,0,0,1,0
5940,15,2,341.66666,80.00000,80.00000,1.49766,84.97852,0,0,1,0
5960,15,2,341.66666,80.00000,80.00000,1.49767,84.97934,0,0,1,0
